№,Тема,Подтема,Вопрос,Ответ,Тип ответа,Рейтинг неожиданности факта (1-3),Сложность вопроса,Жанр,Распределение дат,AI
399,Интернет,Интернет,Сколько писем отправляется по электронной почте каждую секунду (включая спам)? (в миллионах),более 3,количество,1,2,,,1
400,Интернет,Интернет,"Сколько активных пользователей у Facebook (MAU, на начало 2024)? (в миллиардах)",3,количество,1,1,,,0
401,Информатика,Программирование,В каком году Гвидо ван Россум начал разработку языка программирования Python? (год),1989,дата,1,2,,XX век,0
402,Информатика,Сети,"В каком году была отправлена первая передача данных по сети ARPANET, предшественнице Интернета? (год)",1969,дата,1,2,,XX век,0
403,Ипотека,Условия,Какой минимальный процент первоначального взноса по ипотеке в России (стандартные программы)? (в %),10-20,проценты,1,2,,,0
405,Искусство,Архитектура,В каком году было завершено строительство Эйфелевой башни? (год),1889,дата,1,2,,XIX век,0
406,Искусство,Живопись,Сколько экспонатов в коллекции Лувра? (в тыс.),около 600,количество,1,3,,,1
407,Искусство,Живопись,Сколько экспонатов в коллекции Эрмитажа? (в миллионах),более 3,количество,1,3,,,1
409,Искусство,Кино,"Сколько раз Джеймс Бонд представлялся фразой ""Бонд, Джеймс Бонд"" в официальных фильмах Eon Productions?",более 25,количество,1,2,,,1
410,Искусство,Скульптура,Сколько президентов изображено на горе Рашмор?,4,количество,1,1,,,0
411,Искусство,Скульптура,Сколько статуй моаи на острове Пасхи?,около 900-1000,количество,1,1,,,1
412,Искусство,Факты,Сколько картин Леонардо да Винчи дошло до наших дней (общепризнанных)?,менее 20,количество,1,1,,,1
413,Искусство,Факты,Сколько лет ушло на строительство Тадж-Махала? (в годах),21-22,время,1,3,,,0
414,Искусство,Факты,В каком году была установлена статуя Свободы в Нью-Йорке? (год),1886,дата,1,1,,XIX век,0
415,Искусство,Факты,"В каком году была написана самая известная версия картины ""Крик"" Эдварда Мунка? (год)",1893,дата,1,2,,XIX век,0
416,Искусство,Факты,Сколько картин в коллекции музея Прадо?,более 8000,количество,1,2,,,1
417,Искусство,Факты,Сколько экспонатов в Музеях Ватикана? (в тыс.),около 70,количество,1,3,,,1
418,История,20 век,"Сколько лет длилась Холодная война? (примерно, в годах)",45,время,1,3,,,0
419,История,20 век,В каком году началась Первая мировая война? (год),1914,дата,1,1,,XX век,0
420,История,20 век,В каком году закончилась Вторая мировая война? (год),1945,дата,1,1,,XX век,0
421,История,Археология,В каком году начались систематические раскопки Помпеи? (год),1748,дата,2,3,,Наша эра,0
422,История,Археология,В каком году Генрих Шлиман начал раскопки Трои? (год),1871-1873,дата,1,2,,XIX век,0
423,История,Археология,"В каком году Хайрам Бингем ""открыл"" Мачу-Пикчу для западного мира? (год)",1911,дата,2,3,,XX век,0
424,История,Археология,В каком году Говард Картер обнаружил гробницу Тутанхамона? (год),1922,дата,2,3,,XX век,0
425,История,Астрономия,В каком году Уильям Гершель открыл планету Уран? (год),1781,дата,2,3,,Наша эра,0
426,История,Астрономия,В каком году Уильям Гершель открыл планету Уран? (год),1781,дата,2,3,,Наша эра,0
427,История,Астрономия,В каком году была открыта планета Нептун? (год),1846,дата,2,3,,XIX век,0
428,История,Астрономия,В каком году была открыта планета Нептун? (год),1846,дата,2,3,,XIX век,0
429,История,Астрономия,"В каком году Карл Шварцшильд предложил теоретическое решение уравнений Эйнштейна, описывающее черные дыры? (год)",1916,дата,2,3,,XX век,0
430,История,Астрономия,В каком году Жорж Леметр предложил теорию расширяющейся Вселенной (предшественницу Большого взрыва)? (год),1927,дата,1,2,,XX век,0
431,История,Астрономия,В каком году Клайд Томбо открыл Плутон? (год),1930,дата,1,2,,XX век,0
432,История,Астрономия,В каком году Клайд Томбо открыл Плутон? (год),1930,дата,1,2,,XX век,0
433,История,Астрономия,В каком году Фриц Цвикки впервые предположил существование темной материи? (год),1933,дата,2,3,,XX век,0
434,История,Астрономия,В каком году были открыты квазары? (год),1963,дата,1,2,,XX век,0
435,История,Астрономия,В каком году были открыты пульсары? (год),1967,дата,2,3,,XX век,0
436,История,Астрономия,В каком году была открыта первая экзопланета у солнцеподобной звезды? (год),1995,дата,1,2,,XX век,0
437,История,Астрономия,"В каком году было сделано открытие ускоренного расширения Вселенной, указывающее на темную энергию? (год)",1998,дата,2,3,,XX век,0
438,История,Астрономия,"В каком году аппарат ""Феникс"" подтвердил наличие водяного льда на Марсе? (год)",2008,дата,2,3,,Современность,0
439,История,Биология,В каком году Роберт Гук впервые описал клетки? (год),1665,дата,2,3,,Наша эра,0
440,История,Биология,В каком году Антони ван Левенгук впервые наблюдал бактерии? (год),1676,дата,2,3,,Наша эра,0
441,История,Биология,"В каком году Ян Ингенхауз показал, что свет необходим для фотосинтеза? (год)",1779,дата,1,2,,Наша эра,0
442,История,Биология,В каком году Эдвард Дженнер провел первую вакцинацию от оспы? (год),1796,дата,2,3,,Наша эра,0
443,История,Биология,"В каком году Чарльз Дарвин опубликовал ""Происхождение видов""? (год)",1859,дата,2,3,,XIX век,0
444,История,Биология,В каком году Грегор Мендель опубликовал свои законы наследственности? (год),1866,дата,2,3,,XIX век,0
445,История,Биология,В каком году Уотсон и Крик описали структуру ДНК? (год),1953,дата,1,2,,XX век,0
447,История,Бутылки,В каком году был основан первый стекольный завод в России (Духанино)? (год),1635,дата,1,3,,Наша эра,0
448,История,Бытовые предметы,В каком веке появились первые металлические замки с ключами? (век до н.э.),700 до н.э.,дата,2,2,,Древние времена,0
449,История,Бытовые предметы,В каком году Леви Хатчинс изобрел первый механический будильник (который звонил только в 4 утра)? (год),1787,дата,1,2,,Наша эра,0
450,История,Бытовые предметы,В каком году была изобретена первая зажигалка (огниво Дёберейнера)? (год),1823,дата,1,2,,XIX век,0
454,История,Военное дело,В каком веке был изобретен порох в Китае? (век н.э.),9,дата,2,3,,Наша эра,0
455,История,География,В каком году Эрик Рыжий основал первое поселение викингов в Гренландии? (год),982-985,дата,2,3,,Наша эра,0
456,История,География,"В каком году Лейф Эрикссон достиг берегов Северной Америки (Винланд)? (примерно, год)",1000,дата,2,3,,Наша эра,0
457,История,География,В каком году Христофор Колумб достиг Америки? (год),1492,дата,1,1,,Наша эра,0
458,История,География,В каком году Христофор Колумб впервые достиг побережья Южной Америки? (год),1498,дата,2,3,,Наша эра,0
459,История,География,В каком году Васко да Гама открыл морской путь в Индию? (год),1498,дата,1,2,,Наша эра,0
460,История,География,В каком году Висенте Яньес Пинсон открыл устье реки Амазонки? (год),1500,дата,1,2,,Наша эра,0
461,История,География,В каком году завершилось первое кругосветное путешествие экспедиции Магеллана? (год),1522,дата,2,3,,Наша эра,0
462,История,География,В каком году европейцы впервые увидели Гранд-Каньон (экспедиция Коронадо)? (год),1540,дата,1,2,,Наша эра,0
463,История,География,В каком году португальцы впервые достигли Японии? (год),1543,дата,1,2,,Наша эра,0
464,История,География,В каком году Виллем Янсзон первым из европейцев достиг берегов Австралии? (год),1606,дата,1,2,,Наша эра,0
465,История,География,В каком году Абел Тасман открыл Новую Зеландию? (год),1642,дата,2,3,,Наша эра,0
466,История,География,В каком году русские первопроходцы достигли озера Байкал? (год),1643,дата,1,2,,Наша эра,0
467,История,География,В каком году Луи Энпен описал Ниагарский водопад? (год),1678,дата,2,3,,Наша эра,0
468,История,География,В каком году Якоб Роггевен открыл остров Пасхи? (год),1722,дата,2,3,,Наша эра,0
469,История,География,В каком году Джеймс Кук исследовал Большой Барьерный риф? (год),1770,дата,2,3,,Наша эра,0
470,История,География,В каком году Джеймс Кук открыл Гавайские острова? (год),1778,дата,2,3,,Наша эра,0
471,История,География,В каком году русская экспедиция Беллинсгаузена и Лазарева открыла Антарктиду? (год),1820,дата,2,3,,XIX век,0
472,История,Гигиена,В каком году в Китае была изобретена первая зубная щетка со щетиной? (год),1498,дата,2,2,,Наша эра,0
473,История,Гигиена,В каком году Джозеф Гайетти начал продавать первую туалетную бумагу в пачках? (год),1857,дата,1,1,,XIX век,0
474,История,Древний Египет,Сколько лет (приблизительно) охватывает династический период Древнего Египта? (в годах),3000,время,1,1,,,0
475,История,Древний мир,В каком году до н.э. произошла битва при Фермопилах? (год до н.э.),480,дата,1,3,,Древние времена,0
476,История,Древний Рим,Сколько лет правил император Октавиан Август? (в годах),41,время,1,2,,,0
477,История,Древний Рим,В каком году до н.э. был убит Юлий Цезарь? (год до н.э.),44,дата,1,2,,Древние времена,0
478,История,Древний Рим,"Сколько лет просуществовала Западная Римская империя (от Августа до падения Рима)? (примерно, в годах)",503,время,1,2,,,0
479,История,Древний Рим,"В каком году до н.э., по легенде, был основан Рим? (год до н.э.)",753,дата,1,3,,Древние времена,0
481,История,Еда,В каком году Николя Аппер изобрел метод консервирования пищи? (год),1809-1810,дата,2,2,,XIX век,0
482,История,Игры,В каком веке в Индии появилась игра-прародитель шахмат (чатуранга)? (век н.э.),6,дата,2,3,,Наша эра,0
483,История,Игры,В каком веке появились игральные карты в Китае? (век н.э.),9,дата,2,3,,Наша эра,0
484,История,Игры,В каком веке появилось домино в Китае? (век н.э.),12-13,дата,2,2,,Наша эра,0
485,История,Игры,"В каком веке во Франции появилась игра ""жё-де-пом"", предшественница тенниса? (век н.э.)",12,дата,2,3,,Наша эра,0
486,История,Игры,В каком веке в Шотландии зародился гольф? (век н.э.),15,дата,2,3,,Наша эра,0
487,История,Игры,В каком веке появился бильярд во Франции? (век н.э.),15,дата,2,3,,Наша эра,0
488,История,Игры,В каком веке в Италии появилась игра лото? (век н.э.),15,дата,1,2,,Наша эра,0
489,История,Игры,"В каком веке в Англии появились первые упоминания об игре, похожей на крикет? (век н.э.)",16,дата,1,2,,Наша эра,0
490,История,Игры,В каком веке появилась рулетка (предположительно)? (век н.э.),17-18,дата,2,3,,Наша эра,0
491,История,Игры,В каком веке в Англии и США появились игры-предшественники бейсбола? (век н.э.),18,дата,2,3,,Наша эра,0
492,История,Игры,В каком веке покер сформировался в США? (век н.э.),19,дата,2,3,,XIX век,0
493,История,Игры,В каком веке появился настольный теннис? (век н.э.),19,дата,2,2,,XIX век,0
494,История,Игры,В каком веке были кодифицированы правила современного футбола? (век н.э.),19,дата,1,1,,XIX век,0
495,История,Игры,В каком веке сформировался американский футбол? (век н.э.),19,дата,2,3,,XIX век,0
496,История,Игры,В каком веке сформировался хоккей с шайбой? (век н.э.),19,дата,1,2,,XIX век,0
497,История,Игры,В каком веке бадминтон приобрел современные правила? (век н.э.),19,дата,2,2,,XIX век,0
498,История,Игры,В каком веке возникло регби? (век н.э.),19,дата,1,2,,XIX век,0
499,История,Игры,В каком году Джеймс Нейсмит изобрел баскетбол? (год),1891,дата,2,3,,XIX век,0
500,История,Игры,"В каком году был создан первый коммерческий игровой автомат ""Liberty Bell""? (год)",1895,дата,1,2,,XIX век,0
501,История,Игры,В каком году Уильям Морган изобрел волейбол? (год),1895,дата,1,2,,XIX век,0
502,История,Игры,"В каком году была создана игра Tennis for Two, одна из первых видеоигр? (год)",1958,дата,2,3,,XX век,0
503,История,Игры,"В каком году вышла Magnavox Odyssey, первая домашняя игровая консоль? (год)",1972,дата,2,3,,XX век,0
506,История,Искусство,В каком году родился Леонардо да Винчи? (год),1452,дата,1,2,,Наша эра,0
507,История,Искусство,В каком году было завершено строительство Тадж-Махала? (год),1653,дата,1,3,,Наша эра,0
508,История,История,В каком веке началась эпоха Возрождения в Италии? (век н.э.),14,дата,1,2,,Наша эра,0
509,История,История,В каком веке началась промышленная революция в Великобритании? (век н.э.),18,дата,2,3,,Наша эра,0
510,История,История,В каком веке европейцы узнали о существовании Великой Китайской стены? (век н.э.),17-18,дата,1,2,,Наша эра,0
511,История,История,В каком году началась Столетняя война? (год),1337,дата,2,3,,Наша эра,0
512,История,История,В каком году закончилась Столетняя война? (год),1453,дата,2,3,,Наша эра,0
513,История,История,В каком году Христофор Колумб достиг Америки? (год),1492,дата,1,2,,Наша эра,0
514,История,История,В каком году началась Великая французская революция? (год),1789,дата,2,3,,Наша эра,0
515,История,История,В каком году родился Махатма Ганди? (год),1869,дата,2,3,,XIX век,0
516,История,История,В каком году началась Первая мировая война? (год),1914,дата,1,2,,XX век,0
517,История,История,В каком году произошла Октябрьская революция в России? (год),1917,дата,2,3,,XX век,0
518,История,История,В каком году родился Нельсон Мандела? (год),1918,дата,1,2,,XX век,0
519,История,История,В каком году закончилась Первая мировая война? (год),1918,дата,2,3,,XX век,0
520,История,История,В каком году началась Вторая мировая война? (год),1939,дата,1,2,,XX век,0
521,История,История,В каком году закончилась Вторая мировая война? (год),1945,дата,2,3,,XX век,0
522,История,История,В каком году состоялся первый полет человека в космос (Юрий Гагарин)? (год),1961,дата,1,2,,XX век,0
523,История,История,В каком году человек впервые ступил на Луну (Нил Армстронг)? (год),1969,дата,2,3,,XX век,0
524,История,История,В каком году распался Советский Союз? (год),1991,дата,2,3,,XX век,0
529,История,Канцелярия,В каком году Ласло Биро запатентовал шариковую ручку? (год),1938,дата,1,1,,XX век,0
530,История,Кино,В каком году братья Люмьер провели первый публичный платный киносеанс? (год),1895,дата,2,3,,XIX век,0
531,История,Литература,В каком году родился Уильям Шекспир? (год),1564,дата,1,2,,Наша эра,0
532,История,Литература,В каком году родился Уильям Шекспир? (год),1564,дата,2,3,,Наша эра,0
533,История,Литература,"В каком году (примерно) была написана пьеса ""Гамлет""? (год)",1600-1601,дата,1,2,драма,Наша эра,0
534,История,Литература,"В каком году был опубликован первый том романа ""Дон Кихот""? (год)",1605,дата,1,2,,Наша эра,0
535,История,Литература,"В каком году был опубликован первый том романа ""Дон Кихот""? (год)",1605,дата,1,2,роман,Наша эра,0
536,История,Литература,В каком году родился Александр Сергеевич Пушкин? (год),1799,дата,1,1,,Наша эра,0
538,История,Медицина,В каком году Уильям Гарвей опубликовал работу о системе кровообращения? (год),1628,дата,1,2,,Наша эра,0
539,История,Медицина,В каком году Эдвард Дженнер провел первую вакцинацию? (год),1796,дата,2,3,,Наша эра,0
540,История,Медицина,В каком году была проведена первая вакцинация (от оспы)? (год),1796,дата,2,3,,Наша эра,0
541,История,Медицина,В каком году была проведена первая вакцинация (от оспы)? (год),1796,дата,2,3,,Наша эра,0
542,История,Медицина,В каком году Александр Флеминг открыл пенициллин? (год),1928,дата,2,3,,XX век,0
543,История,Медицина,В каком году был открыт первый антибиотик (пенициллин)? (год),1928,дата,2,3,,XX век,0
544,История,Медицина,"В каком году был открыт пенициллин, первый антибиотик? (год)",1928,дата,2,3,,XX век,0
545,История,Медицина,В каком году был открыт вирус иммунодефицита человека (ВИЧ)? (год),1983,дата,1,2,,XX век,0
546,История,Медицина,В каком году был открыт вирус иммунодефицита человека (ВИЧ)? (год),1983,дата,1,2,,XX век,0
547,История,Музыка,В каком году родился Вольфганг Амадей Моцарт? (год),1756,дата,2,3,,Наша эра,0
548,История,Музыка,В каком году родился Людвиг ван Бетховен? (год),1770,дата,1,2,,Наша эра,0
549,История,Музыка,В каком году Томас Эдисон изобрел фонограф? (год),1877,дата,1,2,,XIX век,0
550,История,Навигация,В каком веке компас начал использоваться для навигации в Китае? (век н.э.),11,дата,1,2,,Наша эра,0
551,История,Навигация,В каком веке компас появился в Европе? (век н.э.),12-13,дата,2,3,,Наша эра,0
552,История,Навигация,В каком году был изобретен секстант? (год),1731,дата,2,3,,Наша эра,0
553,История,Настольные игры,В каком веке маджонг приобрел популярность в Китае? (век н.э.),19,дата,1,3,,XIX век,0
554,История,Наука,В каком году китайский ученый Чжан Хэн изобрел первый сейсмоскоп? (год),132,дата,2,3,,Наша эра,0
555,История,Наука,В каком году (примерно) был изобретен первый составной микроскоп? (год),1590-е,дата,2,3,,Наша эра,1
556,История,Наука,В каком году был изобретен микроскоп? (век н.э.),16-17,дата,2,3,,Наша эра,0
557,История,Наука,В каком году Галилео Галилей изобрел термоскоп (предшественник термометра)? (год),1593,дата,2,3,,Наша эра,0
558,История,Наука,В каком году был изобретен первый телескоп-рефрактор? (год),1608,дата,2,2,,Наша эра,0
559,История,Наука,В каком году был изобретен первый телескоп? (год),1608,дата,2,2,,Наша эра,0
560,История,Наука,В каком году родился Исаак Ньютон? (год),1643,дата,2,3,,Наша эра,0
561,История,Наука,В каком году Эванджелиста Торричелли изобрел барометр? (год),1643,дата,2,3,,Наша эра,0
562,История,Наука,В каком году Исаак Ньютон опубликовал закон всемирного тяготения? (год),1687,дата,2,3,,Наша эра,0
563,История,Наука,В каком году родился Чарльз Дарвин? (год),1809,дата,2,3,,XIX век,0
564,История,Наука,В каком году Дмитрий Менделеев опубликовал свою периодическую таблицу? (год),1869,дата,1,2,,XIX век,0
565,История,Наука,В каком году родился Альберт Эйнштейн? (год),1879,дата,1,2,,XIX век,0
566,История,Наука,В каком году Альберт Эйнштейн опубликовал специальную теорию относительности? (год),1905,дата,2,3,,XX век,0
567,История,Наука,В каком году Уотсон и Крик описали структуру ДНК? (год),1953,дата,1,2,,XX век,0
568,История,Новое время,Сколько лет длилась Столетняя война (с перерывами)? (в годах),116,время,2,2,,,0
569,История,Новое время,В каком году началась Великая французская революция? (год),1789,дата,1,2,,Наша эра,0
571,История,Оптика,В каком году (примерно) в Италии были изобретены очки? (год),1286,дата,2,2,,Наша эра,0
572,История,Оптика,В каком году были созданы первые стеклянные контактные линзы? (год),1887,дата,2,3,,XIX век,0
573,История,Открытия,Сколько экспедиций в Америку совершил Христофор Колумб?,4,количество,2,3,,,0
574,История,Психология,В каком году родился Зигмунд Фрейд? (год),1856,дата,2,3,,XIX век,0
576,История,Религия,В каком году родилась Мать Тереза? (год),1910,дата,2,3,,XX век,0
579,История,Россия,Сколько лет правил Петр I (единолично и в соправительстве)? (в годах),43,время,1,3,,,0
580,История,Россия,В каком году произошло Крещение Руси? (год),988,дата,1,2,,Наша эра,0
581,История,Россия,В каком году началось Смутное время в России? (год),1598,дата,1,2,,Наша эра,0
582,История,Россия,В каком году Петр I провозгласил Россию империей? (год),1721,дата,1,2,,Наша эра,0
583,История,Россия,В каком году было отменено крепостное право в России? (год),1861,дата,1,2,,XIX век,0
584,История,Россия,В каком году произошла Октябрьская революция? (год),1917,дата,1,2,,XX век,0
585,История,Сантехника,В каком году Джон Харингтон изобрел первый унитаз со смывным бачком? (год),1596,дата,2,3,,Наша эра,0
586,История,Связь,В каком году Сэмюэл Морзе продемонстрировал электрический телеграф? (год),1837,дата,2,3,,XIX век,0
587,История,Связь,В каком году Александр Белл запатентовал телефон? (год),1876,дата,1,1,,XIX век,0
588,История,Связь,В каком году был изобретен первый телефон? (год),1876,дата,1,1,,XIX век,0
589,История,Связь,В каком году Александр Попов (и Гульельмо Маркони) продемонстрировал(и) радиосвязь? (год),1895-1896,дата,1,2,,XIX век,0
590,История,Связь,В каком году был изобретен радиоприемник? (год),1895-1896,дата,1,2,,XIX век,0
591,История,Связь,В каком году был совершен первый звонок по портативному сотовому телефону (Motorola)? (год),1973,дата,2,3,,XX век,0
592,История,Связь,В каком году был изобретен первый мобильный телефон? (год),1973,дата,1,2,,XX век,0
593,История,Связь,В каком году был изобретен первый мобильный телефон? (год),1973,дата,1,2,,XX век,0
595,История,Средние века,В каком году произошла Куликовская битва? (год),1380,дата,1,2,,Наша эра,0
597,История,США,В каком году была подписана Декларация независимости США? (год),1776,дата,1,2,,Наша эра,0
598,История,Технологии,В каком веке появились первые ветряные мельницы в Персии? (век н.э.),7-9,дата,1,2,,Наша эра,0
601,История,Технологии,В каком году Томас Ньюкомен построил первую паровую машину? (год),1712,дата,2,2,,Наша эра,0
602,История,Технологии,В каком году Уильям Каллен продемонстрировал искусственное охлаждение (прототип холодильника)? (год),1748,дата,2,3,,Наша эра,0
603,История,Технологии,В каком году была запатентована первая механическая стиральная машина (Натаниэль Бриггс)? (год),1797,дата,2,2,,Наша эра,0
604,История,Технологии,В каком году была изобретена первая капельная кофеварка? (год),1818,дата,2,2,,XIX век,0
605,История,Технологии,В каком году Жозеф Нисефор Ньепс сделал первую фотографию? (год),1826,дата,1,2,,XIX век,0
606,История,Технологии,В каком году была запатентована первая практически пригодная швейная машина (Элиас Хоу)? (год),1846,дата,1,2,,XIX век,0
607,История,Технологии,В каком году Август Зибе разработал первый практичный водолазный скафандр? (год),1837-1839,дата,2,3,,XIX век,0
608,История,Технологии,В каком году Элиша Отис продемонстрировал безопасный лифт? (год),1853,дата,1,2,,XIX век,0
609,История,Технологии,В каком году Томас Эдисон запатентовал лампу накаливания с угольной нитью? (год),1879,дата,1,1,,XIX век,0
610,История,Технологии,В каком году была запатентована первая механическая посудомоечная машина? (год),1886,дата,2,3,,XIX век,0
611,История,Технологии,В каком году был запатентован первый рабочий эскалатор? (год),1892,дата,2,3,,XIX век,0
612,История,Технологии,В каком году был запатентован первый электрический тостер? (год),1893,дата,2,3,,XIX век,0
613,История,Технологии,В каком году был запатентован первый электрический пылесос? (год),1901,дата,1,2,,XX век,0
614,История,Технологии,В каком году Фило Фарнсуорт продемонстрировал полностью электронную систему телевидения? (год),1927,дата,2,3,,XX век,0
615,История,Технологии,В каком году был изобретен первый электронный телевизор? (год),1927,дата,1,2,,XX век,0
616,История,Технологии,В каком году Жак-Ив Кусто и Эмиль Ганьян изобрели акваланг? (год),1943,дата,2,3,,XX век,0
617,История,Технологии,В каком году была создана первая микроволновая печь? (год),1946,дата,2,3,,XX век,0
618,История,Технологии,"В каком году был создан ENIAC, один из первых электронных цифровых компьютеров? (год)",1946,дата,1,1,,XX век,0
619,История,Технологии,В каком году был создан первый электронный компьютер (ENIAC)? (год),1946,дата,1,1,,XX век,0
620,История,Технологии,В каком году был изобретен транзистор? (год),1947,дата,1,2,,XX век,0
621,История,Технологии,В каком году был создан первый высокоскоростной принтер (Remington Rand)? (год),1953,дата,2,3,,XX век,0
622,История,Технологии,В каком году был изобретен первый сканер для обработки изображений? (год),1957,дата,2,3,,XX век,0
623,История,Технологии,В каком году был создан первый коммерческий модем (Bell 101)? (год),1958,дата,2,2,,XX век,0
624,История,Технологии,В каком году Теодор Майман создал первый рабочий лазер? (год),1960,дата,1,2,,XX век,0
625,История,Технологии,В каком году был изобретен лазер? (год),1960,дата,2,3,,XX век,0
626,История,Технологии,В каком году был изобретен первый практически применимый светодиод (красный)? (год),1962,дата,2,3,,XX век,0
627,История,Технологии,В каком году Дуглас Энгельбарт продемонстрировал первую компьютерную мышь? (год),1968,дата,2,3,,XX век,0
628,История,Технологии,"В каком году Айвен Сазерленд создал ""Дамоклов меч"", первую систему виртуальной реальности? (год)",1968,дата,2,3,,XX век,0
629,История,Технологии,"В каком году была создана сеть ARPANET, прототип Интернета? (год)",1969,дата,2,3,,XX век,0
630,История,Технологии,В каком году был запущен Интернет (ARPANET)? (год),1969,дата,2,3,,XX век,0
631,История,Технологии,В каком году был создан Интернет (ARPANET / TCP/IP)? (год),1969 / 1983,дата,2,3,,XX век,1
632,История,Технологии,В каком году был создан первый коммерческий микропроцессор (Intel 4004)? (год),1971,дата,2,3,,XX век,0
633,История,Технологии,"В каком году появился Altair 8800, считающийся первым персональным компьютером? (год)",1975,дата,1,2,,XX век,0
634,История,Технологии,В каком году был изобретен первый персональный компьютер (Altair 8800)? (год),1975,дата,1,2,,XX век,0
635,История,Технологии,"В каком году был изобретен персональный компьютер? (примерно, год)",1970-е,дата,2,3,,XX век,1
636,История,Технологии,В каком году протоколы TCP/IP стали стандартными для ARPANET? (год),1983,дата,2,3,,XX век,0
637,История,Технологии,"В каком году был представлен GRiDPad, один из первых планшетных компьютеров? (год)",1989,дата,2,3,,XX век,0
638,История,Технологии,В каком году был изобретен планшетный компьютер (ранний прототип GRiDPad)? (год),1989,дата,2,3,,XX век,0
639,История,Технологии,В каком году Тим Бернерс-Ли изобрел Всемирную паутину (WWW)? (год),1989,дата,2,3,,XX век,0
640,История,Технологии,В каком году был изобретен планшетный компьютер (ранний пример GRiDPad)? (год),1989,дата,2,3,,XX век,0
641,История,Технологии,В каком году был запущен первый веб-сервер и веб-сайт? (год),1990-1991,дата,2,3,,XX век,0
642,История,Технологии,"В каком году был выпущен IBM Simon, считающийся первым смартфоном? (год)",1994,дата,1,2,,XX век,0
643,История,Технологии,В каком году был изобретен смартфон (IBM Simon)? (год),1994,дата,1,2,,XX век,0
644,История,Технологии,В каком году был изобретен смартфон (IBM Simon)? (год),1994,дата,1,2,,XX век,0
645,История,Технологии,"В каком году была запущена социальная сеть SixDegrees.com, одна из первых? (год)",1997,дата,1,2,,XX век,0
646,История,Технологии,В каком году была изобретена первая социальная сеть (SixDegrees.com)? (год),1997,дата,1,2,,XX век,0
647,История,Технологии,"В каком году был выпущен Rocket eBook, один из первых электронных ридеров? (год)",1998,дата,2,3,,XX век,0
648,История,Технологии,В каком году был изобретен электронный ридер (ранняя модель Rocket eBook)? (год),1998,дата,2,3,,XX век,0
651,История,Транспорт,"В каком году Дэвид Бушнелл построил подводную лодку ""Черепаха""? (год)",1775,дата,2,3,,Наша эра,0
652,История,Транспорт,В каком году Ричард Тревитик построил первый полноразмерный паровоз? (год),1804,дата,2,2,,XIX век,0
653,История,Транспорт,"В каком году Карл фон Дрез изобрел ""машину для бега"" (прототип велосипеда)? (год)",1817,дата,1,2,,XIX век,0
654,История,Транспорт,В каком году Анри Жиффар совершил первый полет на дирижабле с паровым двигателем? (год),1852,дата,2,3,,XIX век,0
655,История,Транспорт,В каком году Карл Бенц создал первый автомобиль с бензиновым двигателем? (год),1885,дата,1,2,,XIX век,0
656,История,Транспорт,В каком году Готтлиб Даймлер построил первый мотоцикл? (год),1885,дата,2,3,,XIX век,0
657,История,Транспорт,В каком году был изобретен автомобиль (патент Бенца)? (год),1886,дата,1,1,,XIX век,0
658,История,Транспорт,В каком году был изобретен первый автомобиль (патент Бенца)? (год),1886,дата,1,1,,XIX век,0
659,История,Транспорт,В каком году братья Райт совершили первый управляемый полет на самолете? (год),1903,дата,1,1,,XX век,0
660,История,Транспорт,В каком году был изобретен самолет (первый полет братьев Райт)? (год),1903,дата,1,1,,XX век,0
661,История,Транспорт,В каком году Игорь Сикорский создал первый успешный однороторный вертолет (VS-300)? (год),1939,дата,1,2,,XX век,0
663,История,Факты,"Сколько лет, по легенде, длилась Троянская война? (в годах)",10,время,1,3,,,0
